Sr.,Stock Name,Symbol,% Chg,Price,Volume
1135,Balaji Amines Limited,BALAMINES,-1.21%,2377.85,"70,453"
1136,H.G. Infra Engineering Ltd,HGINFRA,-1.22%,1728.85,"149,284"
1137,Home First Finance Company India Ltd,HOMEFIRST,-1.22%,1055.7,"146,109"
1138,Tanla Solutions Limited,TANLA,-1.22%,951.9,"266,216"
1139,S H Kelkar And Company Limited,SHK,-1.22%,193.61,"229,633"
1140,Libas Designs Ltd,LIBAS,-1.23%,17.71,"133,547"
1141,Quess Corp Limited,QUESS,-1.24%,631.5,"163,083"
1142,RHI Magnesita India Ltd,RHIM,-1.24%,627.2,"156,046"
1143,Kabra Extrusion Technik Limited,KABRAEXTRU,-1.24%,405.25,"66,231"
1144,Time Technoplast Limited,TIMETECHNO,-1.24%,327.35,"524,272"
1145,Asian Energy Services Ltd,ASIANENE,-1.25%,317.05,"61,465"
1146,Banaras Beads Limited,BANARBEADS,-1.25%,103.1,"84,808"
1147,Sequent Scientific Limited,SEQUENT,-1.27%,131.69,"1,317,587"
1148,Oswal Green Tech Ltd,OSWALGREEN,-1.27%,36.51,"503,831"
1149,Knr Constructions Limited,KNRCON,-1.28%,355.05,"1,465,985"
1150,Rbl Bank Limited,RBLBANK,-1.28%,262.75,"10,987,654"
1151,Dolat Algotech Ltd,DOLATALGO,-1.28%,132.33,"464,832"
1152,Adani Energy Solutions Ltd,ADANIENSOL,-1.29%,1012.65,"659,996"
1153,Kamdhenu Limited,KAMDHENU,-1.29%,557.2,"185,038"
1154,Meghmani Organics Ltd,MOL,-1.29%,81.24,"1,481,954"
1155,Medico Remedies Ltd,MEDICO,-1.3%,39.5,"64,160"
1156,Pennar Industries Limited,PENIND,-1.31%,168.37,"827,052"
1157,Jain Irrigation Systems Limited,JISLJALEQS,-1.31%,72.42,"3,896,090"
1158,Finolex Industries Limited,FINPIPE,-1.33%,323.15,"759,104"
1159,Vardhman Acrylics Limited,VARDHACRLC,-1.33%,61.35,"261,437"
1160,Banco Products (i) Limited,BANCOINDIA,-1.34%,674.3,"119,244"
1161,Rushil Decor Limited,RUSHIL,-1.35%,343.9,"100,013"
1162,Updater Services Ltd,UDS,-1.35%,307.2,"168,424"
1163,Tera Software Ltd,TERASOFT,-1.35%,77.32,"53,077"
1164,Birla Corporation Limited,BIRLACORPN,-1.36%,1593.15,"166,764"
1165,The Ramco Cements Limited,RAMCOCEM,-1.36%,808.15,"2,659,493"
1166,Mastek Limited,MASTEK,-1.37%,2838.7,"126,884"
1167,Dalmia Bharat Sugar And Industries Limited,DALMIASUG,-1.38%,403,"125,992"
1168,Rainbow Childrens Medicare Ltd,RAINBOW,-1.39%,1298.35,"132,914"
1169,Nrb Bearing Limited,NRBBEARING,-1.39%,344.6,"261,873"
1170,Krsnaa Diagnostics Ltd,KRSNAA,-1.41%,677.6,"289,260"
1171,Aarvee Denims & Exports Limited,AARVEEDEN,-1.41%,30.01,"156,705"
1172,Hathway Cable & Datacom Limited,HATHWAY,-1.43%,22.81,"5,237,138"
1173,Ponni Sugars (erode) Limited,PONNIERODE,-1.44%,522.5,"127,455"
1174,Indostar Capital Finance Ltd,INDOSTAR,-1.44%,249.06,"82,352"
1175,Skipper Limited,SKIPPER,-1.45%,385.05,"761,847"
1176,Aster DM Healthcare Ltd,ASTERDM,-1.45%,340.1,"1,737,014"
1177,Skm Egg Products Export (india) Limited,SKMEGGPROD,-1.45%,257.45,"72,528"
1178,Security & Intelligence Services India,SIS,-1.46%,451.2,"62,314"
1179,63 Moons Technologies,63MOONS,-1.46%,361.15,"76,849"
1180,Karur Vysya Bank Limited,KARURVYSYA,-1.46%,202.77,"1,019,923"
1181,Strides Shasun Limited,STAR,-1.47%,936.45,"156,186"
1182,Indo Rama Synthetics (india) Limited,INDORAMA,-1.47%,47.01,"154,534"
1183,Rico Auto Industries Limited,RICOAUTO,-1.48%,133.13,"928,269"
1184,Tribhovandas Bhimji Zaveri Limited,TBZ,-1.48%,129.66,"252,648"
1185,Sirca Paints India Ltd,SIRCA,-1.49%,344.65,"127,125"
1186,Rajshree Sugars & Chemicals Limited,RAJSREESUG,-1.49%,75.13,"237,205"
1187,Compucom Software Limited,COMPUSOFT,-1.49%,27.8,"100,493"
1188,Sona BLW Precision Forgings Ltd,SONACOMS,-1.5%,656.9,"1,169,183"
1189,Shankara Building Products,SHANKARA,-1.51%,705.35,"237,154"
1190,Lloyds Metals & Energy Ltd,LLOYDSME,-1.52%,763.35,"1,066,239"
1191,Newgen Software Technologies Ltd,NEWGEN,-1.53%,954.85,"153,070"
1192,Transformers And Rectifiers (india) Limited,TRIL,-1.53%,788.05,"186,216"
1193,Sandur Manganese & Iron Ores Ltd,SANDUMA,-1.53%,555.25,"130,071"
1194,Tarsons Products Ltd,TARSONS,-1.53%,493.6,"50,978"
1195,Jayshree Tea & Industries Limited,JAYSREETEA,-1.53%,114.89,"238,879"
1196,Puravankara Projects Limited,PURVA,-1.54%,527.6,"71,481"
1197,Devyani International Ltd,DEVYANI,-1.55%,165.29,"863,278"
1198,DCX Systems Ltd,DCXINDIA,-1.58%,437.1,"1,589,006"
1199,Atul Auto Limited,ATULAUTO,-1.59%,781.5,"291,683"
1200,Amd Industries Limited,AMDIND,-1.59%,75.47,"77,307"
1201,The Andhra Sugars Limited,ANDHRSUGAR,-1.6%,115.18,"559,307"
1202,Coffee Day Enterprises Limited,COFFEEDAY,-1.61%,54.92,"3,830,515"
1203,Mankind Pharma Ltd,MANKIND,-1.62%,2137.85,"507,575"
1204,City Union Bank Limited,CUB,-1.62%,169.99,"4,079,561"
1205,Krystal Integrated Services Ltd,KRYSTAL,-1.63%,821.45,"53,226"
1206,Suryalakshmi Cotton Mills Limited,SURYALAXMI,-1.63%,86.77,"82,227"
1207,Coral India Finance & Housing Ltd,CORALFINAC,-1.63%,51.94,"60,438"
1208,Triveni Turbine Limited,TRITURBINE,-1.64%,635,"298,996"
1209,Campus Activewear Ltd,CAMPUS,-1.64%,294,"910,650"
1210,The Jammu & Kashmir Bank Limited,J&KBANK,-1.64%,112.1,"4,847,293"
1211,Mawana Sugars Limited,MAWANASUG,-1.65%,122.52,"182,309"
1212,Subros Limited,SUBROS,-1.66%,702.95,"105,173"
1213,Osia Hyper Retail Ltd,OSIAHYPER,-1.66%,23.07,"578,369"
1214,NIIT Learning Systems Ltd,NIITMTS,-1.67%,468.55,"51,674"
1215,Dcb Bank Limited,DCBBANK,-1.69%,136.9,"2,610,564"
1216,Network18 Media & Investments Limited,NETWORK18,-1.69%,85.67,"1,344,505"
1217,K.p.r. Mill Limited,KPRMILL,-1.7%,887.35,"293,390"
1218,Veto Switchgears And Cables Limited,VETO,-1.7%,138.44,"450,490"
1219,Mbl Infrastructures Limited,MBLINFRA,-1.7%,78.29,"1,716,784"
1220,Nava Ltd,NAVA,-1.71%,711.8,"242,977"
1221,Manugraph India Limited,MANUGRAPH,-1.71%,22.95,"56,632"
1222,Andhra Paper Ltd,ANDHRAPAP,-1.73%,609.6,"157,199"
1223,Pnc Infratech Limited,PNCINFRA,-1.73%,481.5,"695,008"
1224,Orient Bell Limited,ORIENTBELL,-1.73%,421.35,"53,601"
1225,Chemcon Speciality Chemicals Ltd,CHEMCON,-1.74%,263.15,"80,125"
1226,Sigachi Industries Ltd,SIGACHI,-1.74%,61.51,"1,112,135"
1227,Sonata Software Limited,SONATSOFTW,-1.75%,636.25,"582,599"
1228,Nippon India ETF Hang Seng Bees,HNGSNGBEES,-1.75%,300,"442,237"
1229,Kamat Hotels (i) Limited,KAMATHOTEL,-1.76%,222.63,"81,179"
1230,Eris Lifesciences,ERIS,-1.77%,1011.95,"110,955"
1231,Chennai Petroleum Corporation Limited,CHENNPETRO,-1.78%,947.75,"696,848"
1232,Optiemus Infracom Ltd,OPTIEMUS,-1.79%,373.2,"1,442,035"
1233,Nahar Spinning Mills Limited,NAHARSPING,-1.79%,308,"114,585"
1234,Bandhan Bank Ltd,BANDHANBNK,-1.79%,204.33,"11,946,566"
1235,Century Textiles & Industries Limited,CENTURYTEX,-1.81%,2280.6,"165,249"
1236,DCM Shriram Industries Ltd,DCMSRIND,-1.81%,212.44,"320,044"
1237,Kuantum Papers Ltd,KUANTUM,-1.81%,172.35,"156,215"
1238,Laxmi Cotspin Ltd,LAXMICOT,-1.81%,31.47,"110,621"
1239,Jindal Poly Films Limited,JINDALPOLY,-1.83%,816.65,"86,434"
1240,India Pesticides Ltd,IPL,-1.83%,221.84,"446,924"
1241,GRM Overseas Ltd,GRMOVER,-1.83%,194.75,"186,133"
1242,Sterlite Technologies Limited,STLTECH,-1.83%,139.09,"2,238,812"
1243,Orient Electric Ltd,ORIENTELEC,-1.85%,270.6,"308,199"
1244,HLE Glascoat Ltd,HLEGLAS,-1.86%,486.95,"94,486"
1245,Lincoln Pharmaceuticals Limited,LINCOLN,-1.87%,654.35,"65,603"
1246,Magnum Ventures Limited,MAGNUM,-1.87%,50.78,"221,823"
1247,Take Solutions Limited,TAKE,-1.87%,20.96,"248,518"
1248,Gujarat Narmada Valley Fertilizers And Chemicals Limited,GNFC,-1.9%,714.1,"1,475,372"
1249,Gujarat Pipavav Port Limited,GPPL,-1.9%,224.17,"4,008,827"
1250,Glaxosmithkline Pharmaceuticals Limited,GLAXO,-1.91%,2538.8,"113,959"
1251,Fortis Healthcare Limited,FORTIS,-1.91%,461.65,"3,584,918"
1252,Cyient Limited,CYIENT,-1.93%,1792.55,"532,787"
1253,Concord Biotech Ltd,CONCORDBIO,-1.93%,1683.7,"120,079"
1254,Carysil Ltd,CARYSIL,-1.93%,837.4,"162,962"
1255,B. L. Kashyap And Sons Limited,BLKASHYAP,-1.93%,93.11,"1,406,960"
1256,Borosil Scientific Ltd,BOROSCI,-1.95%,203.12,"314,119"
1257,Indian Hume Pipe Company Limited,INDIANHUME,-1.96%,414.4,"121,549"
1258,Aditya Birla Fashion And Retail Limited,ABFRL,-1.96%,327.65,"2,819,214"
1259,Bombay Dyeing & Mfg Company Limited,BOMDYEING,-1.96%,210.42,"3,231,165"
1260,Arvind Smartspaces Limited,ARVSMART,-1.97%,713.45,"81,183"
1261,Harsha Engineers International Ltd,HARSHA,-1.97%,571.15,"128,570"
1262,Emami Limited,EMAMILTD,-1.98%,724.2,"1,093,971"
1263,BLS E-Services Ltd,BLSE,-1.98%,245.55,"597,085"
1264,Greaves Cotton Limited,GREAVESCOT,-1.98%,156.59,"3,604,255"
1265,Zuari Industries Ltd,ZUARIIND,-1.99%,388.2,"162,292"
1266,Pnb Housing Finance Limited,PNBHOUSING,-2.01%,792.6,"719,773"
1267,Zensar Technologies Limited,ZENSARTECH,-2.01%,737.2,"718,141"
1268,Cello World Ltd,CELLO,-2.04%,969.4,"427,527"
1269,Motilal Oswal Financial Services Limited,MOTILALOFS,-2.04%,551.7,"871,956"
1270,Acc Limited,ACC,-2.05%,2669.5,"363,575"
1271,Jk Paper Limited,JKPAPER,-2.07%,576.15,"953,026"
1272,Prajay Engineers Syndicate Limited,PRAENG,-2.07%,34.95,"164,743"
1273,Indus Towers Ltd (Bharti Infratel),INDUSTOWER,-2.08%,395.65,"13,752,975"
1274,Equitas Small Finance Bank Ltd,EQUITASBNK,-2.08%,92.1,"5,753,030"
1275,Responsive Industries Limited,RESPONIND,-2.09%,307.35,"819,189"
1276,Landmark Cars Ltd,LANDMARK,-2.1%,688.4,"107,394"
1277,Zen Technologies Limited,ZENTEC,-2.11%,1409.25,"471,107"
1278,BSE (Bombay stock exchange),BSE,-2.12%,2405.35,"836,004"
1279,Crest Ventures Limited,CREST,-2.14%,422,"106,535"
1280,Gokaldas Exports Limited,GOKEX,-2.15%,940,"153,258"
1281,Chemplast Sanmar Ltd,CHEMPLASTS,-2.16%,550.05,"171,587"
1282,Bhagyanagar India,BHAGYANGR,-2.18%,119.67,"496,972"
1283,Gillanders Arbuthnot & Company Limited,GILLANDERS,-2.18%,93.98,"52,605"
1284,Action Construction Equipment Limited,ACE,-2.19%,1492.3,"358,114"
1285,Kirloskar Pneumatic Company Ltd,KIRLPNU,-2.19%,1282.4,"303,791"
1286,Salzer Electronics Limited,SALZERELEC,-2.19%,924,"84,758"
1287,Max Estates Ltd,MAXESTATES,-2.21%,480.45,"82,137"
1288,Shreeoswal Seeds & Chemicals Ltd,OSWALSEEDS,-2.21%,26.49,"75,904"
1289,Bf Utilities Limited,BFUTILITIE,-2.22%,835.65,"371,623"
1290,Redington (india) Limited,REDINGTON,-2.22%,215.44,"1,787,086"
1291,Khandwala Securities Limited,KHANDSE,-2.23%,28.47,"52,276"
1292,Idea Cellular Limited,IDEA,-2.23%,17.09,"492,372,970"
1293,Privi Speciality Chemicals Ltd,PRIVISCL,-2.27%,1549.05,"62,445"
1294,Sandhar Technologies Limited,SANDHAR,-2.27%,574.85,"102,429"
1295,Commercial Syn Bags Ltd,COMSYN,-2.28%,77.57,"65,599"
1296,Sampann Utpadan India Ltd,SAMPANN,-2.28%,38.11,"262,118"
1297,Gulf Oil Lubricants India Limited,GULFOILLUB,-2.29%,1291.15,"491,087"
1298,Gravita India Limited,GRAVITA,-2.3%,1420.5,"167,782"
1299,DRC Systems India Ltd,DRCSYSTEMS,-2.3%,27.58,"175,089"
1300,PDS Ltd,PDSL,-2.31%,538.25,"63,666"
1301,SAL Steel,SALSTEEL,-2.31%,23.3,"140,264"
1302,Fusion Micro Finance Ltd,FUSION,-2.32%,450.1,"287,964"
1303,Metropolis Healthcare Ltd,METROPOLIS,-2.33%,2037.9,"334,572"
1304,Johnson Controls-Hitachi Air Condition. India Ltd,JCHAC,-2.39%,1955.3,"78,269"
1305,Kec International Limited,KEC,-2.4%,900.65,"726,736"
1306,Jb Chemicals & Pharmaceuticals Limited,JBCHEPHARM,-2.41%,1742.55,"160,211"
1307,Pvp Ventures Limited,PVP,-2.41%,25.89,"1,201,445"
1308,Jaiprakash Power Ventures Limited,JPPOWER,-2.42%,18.57,"41,091,222"
1309,Ashiana Housing Limited,ASHIANA,-2.43%,409.75,"144,725"
1310,Sarla Performance Fibers Limited,SARLAPOLY,-2.43%,104.21,"675,240"
1311,AKG Exim Ltd,AKG,-2.43%,21.24,"109,978"
1312,Sterling & Wilson Renewable Energy Ltd,SWSOLAR,-2.44%,690.55,"1,272,960"
1313,Roto Pumps Ltd,ROTO,-2.44%,689.2,"471,028"
1314,Aditya Birla Money Limited,BIRLAMONEY,-2.48%,166.9,"324,062"
1315,Kajaria Ceramics Limited,KAJARIACER,-2.49%,1476.25,"230,492"
1316,V2 Retail Limited,V2RETAIL,-2.49%,769.45,"53,550"
1317,Vrl Logistics Limited,VRLLOG,-2.49%,577.3,"403,022"
1318,Filatex India Limited,FILATEX,-2.52%,56.07,"1,534,747"
1319,Tirupati Forge Ltd,TIRUPATIFL,-2.52%,25.54,"500,248"
1320,Metro Brands Ltd,METROBRAND,-2.56%,1217.45,"71,691"
1321,Wockhardt Limited,WOCKPHARMA,-2.56%,908.6,"1,139,249"
1322,Gocl Corporation Limited,GOCLCORP,-2.57%,455.45,"218,395"
1323,TCNS Clothing Co. Ltd,TCNSBRANDS,-2.59%,549.7,"337,727"
1324,Epack Durable Ltd,EPACK,-2.61%,247.09,"654,734"
1325,Heritage Foods Limited,HERITGFOOD,-2.62%,539.85,"798,758"
1326,Latteys Industries Ltd,LATTEYS,-2.69%,16.98,"137,367"
1327,Aarvi Encon Ltd,AARVI,-2.71%,137.7,"57,113"
1328,KPIT Technologies Ltd,KPITTECH,-2.74%,1693.95,"847,290"
1329,Genus Power Infrastructures Limited,GENUSPOWER,-2.74%,346.2,"812,892"
1330,Vedant Fashions Ltd,MANYAVAR,-2.75%,1094.65,"133,420"
1331,De Nora India Limited,DENORA,-2.76%,1877.45,"90,807"
1332,Baid Finserv Ltd,BAIDFIN,-2.76%,16.94,"2,286,900"
1333,Airo Lam Ltd,AIROLAM,-2.78%,135.13,"63,041"
1334,PB Fintech Ltd,POLICYBZR,-2.87%,1379.45,"826,222"
1335,The Motor & General Finance Limited,MOTOGENFIN,-2.87%,43.31,"200,777"
1336,Wanbury Limited,WANBURY,-2.89%,160.45,"233,472"
1337,Brigade Enterprises Limited,BRIGADE,-2.9%,1344.45,"267,605"
1338,Medplus Health Services Ltd,MEDPLUS,-2.99%,669.3,"3,563,085"
1339,Panacea Biotec Limited,PANACEABIO,-3%,138.83,"377,998"
1340,Gallantt Metal Limited,GALLANTT,-3.03%,346.9,"70,388"
1341,Jyoti Structures Limited,JYOTISTRUC,-3.06%,26.91,"2,400,875"
1342,Kritika Wires Ltd,KRITIKA,-3.09%,20.7,"678,996"
1343,Iris Clothings Ltd,IRISDOREME,-3.12%,65.16,"1,012,987"
1344,Mindteck (india) Limited,MINDTECK,-3.13%,328.35,"185,296"
1345,Grindwell Norton Limited,GRINDWELL,-3.21%,2856.35,"76,146"
1346,Orient Cement Limited,ORIENTCEM,-3.21%,296.8,"2,529,171"
1347,Jyoti CNC Automation Ltd,JYOTICNC,-3.24%,1294.55,"124,860"
1348,Emmbi Industries Limited,EMMBI,-3.33%,111.28,"160,843"
1349,Swelect Energy Systems Limited,SWELECTES,-3.36%,1255.85,"88,671"
1350,Pyramid Technoplast Ltd,PYRAMID,-3.38%,185.28,"212,440"
1351,Utkarsh Small Finance Bank Ltd,UTKARSHBNK,-3.4%,51.15,"7,479,900"
1352,Dynacons Systems & Solutions Limited,DSSL,-3.54%,1209,"51,082"
1353,Windsor Machines Limited,WINDMACHIN,-3.59%,172.22,"863,775"
1354,Inox Green Energy Services Ltd,INOXGREEN,-3.62%,168.2,"5,548,502"
1355,Dev Information Technology Ltd,DEVIT,-3.62%,125.83,"72,037"
1356,Hi-Tech Pipes Ltd,HITECH,-3.7%,132.58,"1,391,434"
1357,JSFB,JSFB,-3.75%,679.35,"241,666"
1358,Redtape Ltd,REDTAPE,-3.81%,739.2,"125,789"
1359,Indowind Energy Limited,INDOWIND,-3.96%,30.09,"1,447,907"
1360,Vaishali Pharma Ltd,VAISHALI,-4.15%,161.59,"95,715"
1361,SEPC Ltd,SEPC,-4.22%,18.59,"10,983,414"
1362,Kewal Kiran Clothing Limited,KKCL,-4.31%,694.65,"118,990"
1363,Hdfc Bank Limited,HDFCBANK,-4.58%,1648.1,"41,121,274"
1364,Tree House Education & Accessories Limited,TREEHOUSE,-4.86%,26.26,"188,462"
1365,JHS Svendgaard Retail Ventures Ltd,RETAIL,-4.88%,37.04,"59,781"
1366,Tijaria Polypipes Limited,TIJARIA,-4.89%,17.12,"69,385"
1367,MIC Electronics Ltd,MICEL,-5.01%,85.9,"1,470,577"
1368,Surana Telecom And Power Limited,SURANAT&P,-5.01%,28.07,"479,148"
1369,Sai Silks (Kalamandir) Ltd,KALAMANDIR,-6.11%,177.54,"838,072"
1370,Remsons Industries Limited,REMSONSIND,-80.66%,207.55,"191,780"
1371,Vertoz Advertising Ltd,VERTOZ,-94.75%,36.05,"147,503"
