Sr.,Stock Name,Symbol,% Chg,Price,Volume
725,ICICI Prudential Nifty Auto ETF,AUTOIETF,0.19%,25.84,"461,671"
726,HDFCNIF100,HDFCNIF100,0.19%,25.79,"56,645"
727,Axita Cotton Ltd,AXITA,0.19%,21.49,"483,629"
728,TRACXN,TRACXN,0.18%,96.85,"1,239,776"
729,Motilal Oswal S&P BSE Low Volatility ETF,MOLOWVOL,0.18%,38.02,"152,759"
730,Alok Industries Ltd,ALOKINDS,0.18%,28.28,"9,105,841"
731,UTI Asset Management Company Ltd,UTIAMC,0.17%,1046.1,"174,356"
732,Gensol Engineering Ltd,GENSOL,0.17%,1011.65,"105,999"
733,Himadri Speciality Chemical Limited,HSCL,0.16%,403.3,"657,931"
734,Jamna Auto Industries Limited,JAMNAAUTO,0.16%,127.9,"1,758,245"
735,Signet Industries Ltd,SIGIND,0.16%,86.75,"54,586"
736,UTI - Gold Exchange Traded Fund,GOLDSHARE,0.16%,61.95,"71,323"
737,3P Land Holdings Ltd,3PLAND,0.16%,37.6,"52,137"
738,Tech Mahindra Limited,TECHM,0.15%,1461.35,"1,334,838"
739,Cholamandalam Financial Holdings Ltd,CHOLAHLDNG,0.15%,1457.6,"169,655"
740,Munjal Showa Limited,MUNJALSHOW,0.15%,159.23,"138,885"
741,Nippon India ETF Long Term Gilt,LTGILTBEES,0.15%,26.02,"2,975,763"
742,Maharashtra Seamless Limited,MAHSEAMLES,0.14%,653.35,"353,845"
743,Motisons Jewellers Ltd,MOTISONS,0.14%,155.75,"426,346"
744,Urja Global Ltd,URJA,0.14%,21.05,"3,366,052"
745,Central Depository Services Ltd,CDSL,0.13%,2322.95,"1,070,353"
746,Tata Technologies Ltd,TATATECH,0.13%,1010.35,"704,826"
747,Associated Alcohols & Breweries Ltd,ASALCBR,0.13%,687.55,"91,056"
748,Advanced Enzyme Technologies Limited,ADVENZYMES,0.13%,399.2,"765,858"
749,DSP Gold ETF,GOLDETFADD,0.13%,72,"591,235"
750,Bharat Forge Limited,BHARATFORG,0.12%,1672.25,"1,214,143"
751,Nesco Limited,NESCO,0.12%,935.85,"181,596"
752,Hindustan Media Ventures Limited,HMVL,0.12%,103.27,"118,440"
753,Rajshree Polypack Ltd,RPPL,0.12%,73.5,"206,074"
754,Ge T&d India Limited,GET&D,0.11%,1694.15,"273,806"
755,Sundram Fasteners Limited,SUNDRMFAST,0.11%,1407.6,"100,410"
756,Barbeque-Nation Hospitality Ltd,BARBEQUE,0.11%,585.95,"99,860"
757,Power Finance Corporation Limited,PFC,0.11%,534.25,"10,395,660"
758,BCL Industries Ltd,BCLIND,0.11%,52.62,"989,967"
759,Vijaya Diagnostic Centre Ltd,VIJAYA,0.1%,788,"163,084"
760,Pakka Ltd,PAKKA,0.1%,254.65,"159,804"
761,Sindhu Trade Links Ltd,SINDHUTRAD,0.1%,20.71,"756,775"
762,Subex Ltd,SUBEXLTD,0.09%,32.35,"11,185,469"
